Size,Name,Manufacturer,Tractor Force (MN),Tractor Range,Tractor Full Strength Dist.,Tractor Max Angle,Tractor Max Volume,Towing Force (MN),Towing Max Accel. (m/s²),Towing Max Distance,Towing QT Mass Limit,Distortion Resistance Shutdown Dmg,Distortion Resistance Decay Delay,Distortion Resistance Decay Rate,Distortion Resistance Shutdown Time,EM Emit Active,EM Emit Decay,IR Emit,Power Segment Usage Active,Power Segment Usage Min,Cooling Usage Max,Cooling Usage Min,Temperature (°C) Max,Temperature (°C) Cooling Threshold,Temperature (°C) IR Threshold,Temperature (°C) Overheat,Temperature (°C) Max,Health,Damage Multipliers Recovery,Damage Multipliers Physical,Damage Multipliers Energy,Damage Multipliers Distortion,Damage Multipliers Thermal,Damage Multipliers Biochemical,Lifetime,Self Repair Stun,Self Repair Use,Self Repair Time to Repair,Mass,K µSCU
1,Durus Tractor Beam (Argo ATLS),Greycat Industrial,0.0015 - 0.5,0.5 - 75,45,60,300 000,,,,,500 000,0,500 000,1s,0,0.15,0,1,1,,,,,,,,1 050,1,1,1,1,1,1,,1,120,20%,70,84
3,SafeTow S3 Towing Beam,Greycat Industrial,0.0015 - 5000,0.5 - 300,200,90,300 000,120,70,125,500 000,500 000,0,500 000,1s,0,0.15,0,3,3,,,,,,,,1 050,1,1,1,1,1,1,,1,120,20%,100,756
1,SureGrip HV-S1 Tractor Beam,Greycat Industrial,0.0015 - 0.6,0.5 - 130,65,60,300 000,,,,,500 000,0,500 000,1s,0,0.15,0,1,1,,,,,,,,1 050,1,1,1,1,1,1,,1,120,20%,70,84
2,SureGrip HV-S2 Tractor Beam,Greycat Industrial,0.0015 - 1.5,0.5 - 130,65,60,300 000,,,,,500 000,0,500 000,1s,0,0.15,0,2,2,,,,,,,,1 050,1,1,1,1,1,1,,1,120,20%,90,252
1,SureGrip PR-S1 Tractor Beam,Greycat Industrial,0.0015 - 0.4,0.5 - 130,65,80,300 000,,,,,500 000,0,500 000,1s,0,0.15,0,1,1,,,,,,,,1 050,1,1,1,1,1,1,,1,120,20%,70,84
2,SureGrip PR-S2 Tractor Beam,Greycat Industrial,0.0015 - 1.2,0.5 - 130,65,80,300 000,,,,,500 000,0,500 000,1s,0,0.15,0,2,2,,,,,,,,1 050,1,1,1,1,1,1,,1,120,20%,90,252
1,SureGrip S1 Tractor Beam,Greycat Industrial,0.0015 - 0.5,0 - 150,75,60,300 000,,,,,500 000,0,500 000,1s,0,0.15,0,1,1,,,,,,,,1 050,1,1,1,1,1,1,,1,120,20%,70,84
2,SureGrip S2 Tractor Beam,Greycat Industrial,0.0015 - 1.35,0.5 - 150,75,60,300 000,,,,,500 000,0,500 000,1s,0,0.15,0,2,2,,,,,,,,1 050,1,1,1,1,1,1,,1,120,20%,90,252
1,ViseLock S1 Tractor Beam,Greycat Industrial,0.0015 - 0.5,0.5 - 135,68,80,300 000,,,,,500 000,0,500 000,1s,0,0.15,0,1,1,,,,,,,,1 050,1,1,1,1,1,1,,1,120,20%,70,84
2,ViseLock S2 Tractor Beam,Greycat Industrial,0.0015 - 1.35,0.5 - 135,68,80,300 000,,,,,500 000,0,500 000,1s,0,0.15,0,2,2,,,,,,,,1 050,1,1,1,1,1,1,,1,120,20%,90,252
